onset	duration	trial_type	value	sample
6.832	0.0	Song_Start	12	1708
6.924	0.0	Listen_Start	10	1731
8.06	0.0	Arrow_Left_Spawn	2	2015
8.444	0.0	Arrow_Left_Spawn	2	2111
8.88	0.0	Arrow_Left_Spawn	2	2220
9.288	0.0	Arrow_Left_Spawn	2	2322
9.692	0.0	Arrow_Left_Spawn	2	2423
10.004	0.0	Listen_End	9	2501
10.1	0.0	Arrow_Left_Spawn	2	2525
10.172	0.0	Left_Pressed	8	2543
10.172	0.0	Left_Perfect	7	2543
10.26	0.0	Arrow_Left_HitZone	1	2565
10.484	0.0	Arrow_Left_Spawn	2	2621
10.568	0.0	Left_Pressed	8	2642
10.568	0.0	Left_Perfect	7	2642
10.644	0.0	Arrow_Left_HitZone	1	2661
10.864	0.0	Arrow_Left_Spawn	2	2716
10.996	0.0	Left_Pressed	8	2749
10.996	0.0	Left_Perfect	7	2749
11.08	0.0	Arrow_Left_HitZone	1	2770
11.432	0.0	Left_Pressed	8	2858
11.432	0.0	Left_Perfect	7	2858
11.488	0.0	Arrow_Left_HitZone	1	2872
11.828	0.0	Left_Pressed	8	2957
11.828	0.0	Left_Perfect	7	2957
11.892	0.0	Arrow_Left_HitZone	1	2973
12.176	0.0	Left_Pressed	8	3044
12.176	0.0	Left_Great	4	3044
12.3	0.0	Arrow_Left_HitZone	1	3075
12.608	0.0	Left_Pressed	8	3152
12.608	0.0	Left_Perfect	7	3152
12.684	0.0	Arrow_Left_HitZone	1	3171
12.932	0.0	Left_Pressed	8	3233
12.932	0.0	Left_Great	4	3233
13.064	0.0	Arrow_Left_HitZone	1	3266
13.232	0.0	Listen_Start	10	3308
14.452	0.0	Arrow_Left_Spawn	2	3613
14.784	0.0	Arrow_Left_Spawn	2	3696
15.284	0.0	Arrow_Left_Spawn	2	3821
15.668	0.0	Arrow_Left_Spawn	2	3917
16.056	0.0	Arrow_Left_Spawn	2	4014
16.492	0.0	Listen_End	9	4123
16.596	0.0	Left_Pressed	8	4149
16.596	0.0	Left_Perfect	7	4149
16.652	0.0	Arrow_Left_HitZone	1	4163
16.768	0.0	Arrow_Left_Spawn	2	4192
16.936	0.0	Left_Pressed	8	4234
16.936	0.0	Left_Perfect	7	4234
16.984	0.0	Arrow_Left_HitZone	1	4246
17.424	0.0	Left_Pressed	8	4356
17.424	0.0	Left_Perfect	7	4356
17.484	0.0	Arrow_Left_HitZone	1	4371
17.844	0.0	Left_Pressed	8	4461
17.844	0.0	Left_Perfect	7	4461
17.868	0.0	Arrow_Left_HitZone	1	4467
18.212	0.0	Left_Pressed	8	4553
18.212	0.0	Left_Perfect	7	4553
18.256	0.0	Arrow_Left_HitZone	1	4564
18.92	0.0	Left_Pressed	8	4730
18.92	0.0	Left_Perfect	7	4730
18.968	0.0	Arrow_Left_HitZone	1	4742
19.268	0.0	Listen_Start	10	4817
20.844	0.0	Arrow_Left_Spawn	2	5211
21.636	0.0	Arrow_Left_Spawn	2	5409
22.496	0.0	Arrow_Left_Spawn	2	5624
22.864	0.0	Listen_End	9	5716
22.884	0.0	Arrow_Left_Spawn	2	5721
23.016	0.0	Left_Pressed	8	5754
23.016	0.0	Left_Perfect	7	5754
23.056	0.0	Arrow_Left_HitZone	1	5764
23.264	0.0	Arrow_Left_Spawn	2	5816
23.676	0.0	Arrow_Left_Spawn	2	5919
23.82	0.0	Left_Pressed	8	5955
23.82	0.0	Left_Perfect	7	5955
23.848	0.0	Arrow_Left_HitZone	1	5962
24.584	0.0	Left_Pressed	8	6146
24.584	0.0	Left_Great	4	6146
24.708	0.0	Arrow_Left_HitZone	1	6177
24.992	0.0	Left_Pressed	8	6248
24.992	0.0	Left_Perfect	7	6248
25.084	0.0	Arrow_Left_HitZone	1	6271
25.388	0.0	Left_Pressed	8	6347
25.388	0.0	Left_Perfect	7	6347
25.464	0.0	Arrow_Left_HitZone	1	6366
25.792	0.0	Left_Pressed	8	6448
25.792	0.0	Left_Perfect	7	6448
25.876	0.0	Arrow_Left_HitZone	1	6469
26.236	0.0	Listen_Start	10	6559
27.34	0.0	Arrow_Left_Spawn	2	6835
27.68	0.0	Arrow_Left_Spawn	2	6920
28.012	0.0	Arrow_Left_Spawn	2	7003
